aws
aws,ec2,delete-route
aws,ec2,delete-route-table
aws,ec2,delete-security-group
aws,ec2,delete-snapshot
aws,ec2,delete-spot-datafeed-subscription
aws,ec2,delete-subnet
aws,ec2,delete-tags
aws,ec2,delete-volume
aws,ec2,delete-vpc
aws,ec2,delete-vpc-endpoints
aws,ec2,delete-vpc-peering-connection
aws,ec2,delete-vpn-connection
aws,ec2,delete-vpn-connection-route
aws,ec2,delete-vpn-gateway
aws,ec2,deregister-image
aws,ec2,describe-account-attributes
aws,ec2,describe-addresses
aws,ec2,describe-availability-zones
aws,ec2,describe-bundle-tasks
aws,ec2,describe-classic-link-instances
aws,ec2,describe-conversion-tasks
aws,ec2,describe-customer-gateways
aws,ec2,describe-dhcp-options
aws,ec2,describe-export-tasks
aws,ec2,describe-flow-logs
aws,ec2,describe-hosts
aws,ec2,describe-id-format
aws,ec2,describe-image-attribute
aws,ec2,describe-images
aws,ec2,describe-import-image-tasks
aws,ec2,describe-import-snapshot-tasks
aws,ec2,describe-instance-attribute
aws,ec2,describe-instance-status
aws,ec2,describe-instances
aws,ec2,describe-internet-gateways
aws,ec2,describe-key-pairs
aws,ec2,describe-moving-addresses
aws,ec2,describe-nat-gateways
aws,ec2,describe-network-acls
aws,ec2,describe-network-interface-attribute
aws,ec2,describe-network-interfaces
aws,ec2,describe-placement-groups
aws,ec2,describe-prefix-lists
aws,ec2,describe-regions
aws,ec2,describe-reserved-instances
aws,ec2,describe-reserved-instances-listings
aws,ec2,describe-reserved-instances-modifications
aws,ec2,describe-reserved-instances-offerings
aws,ec2,describe-route-tables
aws,ec2,describe-scheduled-instance-availability
aws,ec2,describe-scheduled-instances
aws,ec2,describe-security-group-references
aws,ec2,describe-security-groups
aws,ec2,describe-snapshot-attribute
aws,ec2,describe-snapshots
aws,ec2,describe-spot-datafeed-subscription
aws,ec2,describe-spot-fleet-instances
aws,ec2,describe-spot-fleet-request-history
aws,ec2,describe-spot-fleet-requests
aws,ec2,describe-spot-instance-requests
aws,ec2,describe-spot-price-history
aws,ec2,describe-stale-security-groups
aws,ec2,describe-subnets
aws,ec2,describe-tags
aws,ec2,describe-volume-attribute
aws,ec2,describe-volume-status
aws,ec2,describe-volumes
aws,ec2,describe-vpc-attribute
aws,ec2,describe-vpc-classic-link
aws,ec2,describe-vpc-classic-link-dns-support
aws,ec2,describe-vpc-endpoint-services
aws,ec2,describe-vpc-endpoints
aws,ec2,describe-vpc-peering-connections
aws,ec2,describe-vpcs
aws,ec2,describe-vpn-connections
aws,ec2,describe-vpn-gateways
aws,ec2,detach-classic-link-vpc
aws,ec2,detach-internet-gateway
aws,ec2,detach-network-interface
aws,ec2,detach-volume
aws,ec2,detach-vpn-gateway
aws,ec2,disable-vgw-route-propagation
aws,ec2,disable-vpc-classic-link
aws,ec2,disable-vpc-classic-link-dns-support
aws,ec2,disassociate-address
aws,ec2,disassociate-route-table
aws,ec2,enable-vgw-route-propagation
aws,ec2,enable-volume-io
aws,ec2,enable-vpc-classic-link
aws,ec2,enable-vpc-classic-link-dns-support
aws,ec2,get-console-output
